Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
PlayStation San Diego,2023-05-26,,Sony Entertainment,Console,California,Japan
Firaxis Games,2023-05-30,30,TakeTwo Interactive,Console,Massachusetts,United States
Vanpool,2023-05-31,,,Console,Japan,Japan
Firemonkeys,2023-06-01,45,Electronic Arts,Mobile,Australia,United States
BonusXP,2023-06-01,48,Netflix,Console,Texas,United States
The Game Band,2023-06-03,,,Console,California,United States
Hellbent Games,2023-06-12,40,,Indie,British Columbia,Canada
Kiloo Games,2023-06-14,55,,Mobile,Denmark,Denmark
ProbablyMonsters,2023-06-15,35,,Online,Washington State,United States
Wildlife Studios,2023-06-15,143,Wildlife Studios,Mobile,Brazil,Brazil
Bilibili Guangzhou Xinyuan,2023-06-16,220,Bilibili,Online,China,China
Scavenger Studios,2023-06-21,20,,Indie,Quebec,Canada
Wildseed Games,2023-06-23,15,,Online,California,United States
HiRez Ventures,2023-06-27,50,,Online,Georgia,United States
Elodie Games,2023-06-28,,,Online,California,United States
Ludia,2023-06-29,45,Jam City,Mobile,Quebec,United States
Niantic,2023-06-29,230,Niantic,AR/VR,California,United States
Puny Human,2023-06-30,14,,Indie,North Carolina,United States
LifeForce Games,2023-06-30,13,,Indie,,
Daedalic Entertainment,2023-06-30,25,Nacon,Console,Germany,France
JumpStart Games,2023-06-30,60,NetDragon Websoft,Online,California,China
TavroxGames,2023-07-01,4,,Indie,France,France
A Thinking Ape,2023-07-01,5,Embracer Group,Mobile,British Columbia,Sweden
Harebrained Schemes,2023-07-01,40,Paradox Interactive,Indie,Washington State,Sweden
Adglobe Montreal,2023-07-06,29,Skeleton Crew,AR/VR,Quebec,Japan
Product Madness,2023-07-11,25,Aristocrat Games,Online,Nevada,United States
Activision Blizzard,2023-07-19,50,Activision Blizzard King,Publisher,California,United States
Double Stallion Games,2023-07-20,10,,Indie,Quebec,Canada
CD Projekt Red,2023-07-26,100,CD Projekt,Console,Poland,Poland
Popcore,2023-07-31,,TakeTwo Interactive,Mobile,Germany,United States
Striking Distance Studios,2023-07-31,32,Krafton,Console,California,South Korea
Action Squad Studios,2023-08-05,14,,Indie,Finland,Finland
Campfire Cabal,2023-08-08,18,Embracer Group,Console,Sweden,Sweden
Imagendary Studios,2023-08-11,55,FunPlus,Console,California,China
Vela Games,2023-08-21,45,,Online,Ireland,United Kingdom
Bioware Games,2023-08-23,50,Electronic Arts,Console,Alberta,United States
Mimimi,2023-08-29,30,,Indie,Germany,Germany
Blackbird Interactive,2023-08-29,90,,Indie,British Columbia,Canada
