NAME,FAILDATE,QBFASSET,QBFDEP,CITY,PSTALP,COST,RESTYPE
CARDWELL STATE BANK,8/28/1985,6206,5664,CARDWELL,MO,868,FAILURE
MISSOURI DELTA BANK,8/28/1985,9116,8112,HAYTI,MO,1367,FAILURE
PRESIDIO  S&LA,8/28/1985,284494,244890,PORTERVILLE,CA,96609,FAILURE
FARMERS BANK OF TRENTON,2/10/1937,335,323,TRENTON,MO,,FAILURE
"MONCOR BANK, N.A.",8/30/1985,229302,220340,HOBBS,NM,54020,FAILURE
WESTSIDE FS&LA,8/30/1985,378366,325085,SEATTLE,WA,100841,FAILURE
CITIZENS FS&LA,9/3/1985,133824,133506,MATTESON,IL,3000,ASSISTANCE
THE BANK OF LORETTO,9/4/1985,25637,24782,LORETTO,TN,3933,FAILURE
BANK OF CLIFTON,9/6/1985,10887,9839,CLIFTON,CO,2748,FAILURE
HEIGHTS SAVINGS ASSOCIATION,9/6/1985,436548,422018,HOUSTON,TX,738898,ASSISTANCE
FIRST SECURITY BANK OF DICKSON,9/12/1985,14785,14259,DICKSON,TN,1830,FAILURE
"MONCOR BANK, N.A.",9/12/1985,33293,32901,ROSWELL,NM,10629,FAILURE
THE FIRST NATIONAL BANK OF ROCKLAND,9/13/1985,29482,25309,RAMAPO,NY,0,FAILURE
ELBA STATE BANK,9/18/1985,4735,4217,ELBA,NE,657,FAILURE
FARMERS STATE BANK,2/18/1937,205,164,CORSICA,SD,,FAILURE
GLEN ELLYN  S&LA,9/20/1985,122108,101105,GLEN ELLYN,IL,18485,ASSISTANCE
THE SEDAN STATE BANK,9/25/1985,28153,26586,SEDAN,KS,8340,FAILURE
THE FIRST NATIONLAL BANK IN TERRAL,9/27/1985,4063,3948,TERRAL,OK,1723,FAILURE
WESTERN STATE BANK,9/27/1985,27831,23678,DENTON,TX,8021,FAILURE
FAMILY FS&LA,9/27/1985,57071,71193,SPRINGFIELD,VA,776,ASSISTANCE
GOLDEN PACIFIC S&LA,9/27/1985,45574,46160,WINDSOR,CA,6070,ASSISTANCE
BOWERY SAVINGS BANK,10/1/1985,5277472,5001932,NEW YORK,NY,334542,ASSISTANCE
BATON ROUGE S&LA,10/1/1985,116047,93265,BATON ROUGE,LA,5250,ASSISTANCE
SECURITY FS&LA,10/1/1985,169057,167698,ALBERQUERQUE,NM,19536,ASSISTANCE
"TOWER BANK, N.A.",10/3/1985,20523,19722,HIALEAH GARDENS,FL,2699,FAILURE
AKASKA STATE BANK,2/18/1937,92,62,AKASKA,SD,,FAILURE
SUN S&LA,10/4/1985,231947,177079,PORTLAND,ME,17500,ASSISTANCE
BANK OF CANTON,10/10/1985,22438,20609,CANTON,OK,8576,FAILURE
SARATOGA STATE BANK,10/11/1985,18470,16300,SARATOGA,WY,4260,FAILURE
THE FIRST NATIONAL BANK OF ST. JOSEPH,10/11/1985,193485,175895,ST. JOSEPH,MO,27105,FAILURE
FARMERS STATE BANK IN AFTON,10/17/1985,10794,9905,AFTON,OK,2763,FAILURE
FARMERS STATE BANK OF KANARANZI,10/18/1985,3907,3823,KANARANZI,MN,997,FAILURE
FIRST STATE BANK,10/18/1985,12344,11495,JET,OK,5621,FAILURE
THE CITIZENS BANK,10/18/1985,93459,85512,OGDEN,UT,33895,FAILURE
THE EARLY BANK,10/18/1985,15846,15130,EARLY,TX,3103,FAILURE
FARMERS SAVINGS BANK,10/18/1985,590288,526353,DAVIS,CA,137801,FAILURE
THE CITIZENS STATE BANK OF LEBANON,2/20/1937,154,112,LEBANON,SD,,FAILURE
SECURITY TRUST S&LA,10/28/1985,28792,27192,OAKRIDGE,TN,10399,ASSISTANCE
EARLY SAVINGS BANK,11/1/1985,12890,11935,EARLY,IA,1192,FAILURE
YELLOWSTONE STATE BANK,11/1/1985,18676,20774,LANDER,WY,12300,FAILURE
THE AURORA BANK,11/1/1985,16567,15214,AURORA,CO,7453,FAILURE
LEWIS FS&LA,11/1/1985,51877,52397,CHEHALIS,WA,1763,ASSISTANCE
AUBURN SAVINGS BANK,11/8/1985,6833,6647,AUBURN,IA,714,FAILURE
NORTHSHORE BANK,11/8/1985,47187,43341,HOUSTON,TX,12162,FAILURE
FIRST NATIONAL BANK OF TEAGUE,11/14/1985,31995,29155,TEAGUE,TX,7904,FAILURE
THE DILL STATE BANK,11/21/1985,15459,14289,DILL CITY,OK,6907,FAILURE
DECATAUR COUNTY NATIONAL BANK OF OBERLIN,11/21/1985,18362,16786,OBERLIN,KS,3983,FAILURE
THE NATIONAL BANK OF HERNDON,1/9/1935,387,384,HERNDON,VA,,FAILURE
THE FIRST NATIONAL BANK OF ISMAY,2/20/1937,,83,ISMAY,MT,,FAILURE
THE CLARKSDALE BANK OF CLARKDALE,11/21/1985,6167,5847,CLARKSDALE,MO,1955,FAILURE
THE FARMERS AND MERCHANTS STATE BANK OF RU,11/21/1985,32647,28914,LA CROSSE,KS,10042,FAILURE
CHESTER STATE BANK,11/22/1985,11722,10979,CHESTER,TX,2088,FAILURE
ALLEN COUNTY BANK AND TRUST COMPANY,11/22/1985,10907,10524,LEO,IN,0,FAILURE
CALIFORNIA HERITAGE BANK,11/22/1985,24114,22397,SAN DIEGO,CA,3229,FAILURE
HI-PLAINS  S&LA,11/25/1985,114611,100507,HEREFORD,TX,112620,ASSISTANCE
USM (U.S. MUTUAL) S&LA,11/26/1985,306069,286973,ANN ARBOR,MI,31089,FAILURE
CITIZENS FS&LA,12/1/1985,461380,353209,SEATTLE,WA,18018,ASSISTANCE
HOME FS&LA,12/2/1985,115303,117130,SIOUX CITY,IA,10000,ASSISTANCE
MIDLAND FS&LA,12/2/1985,37978,40926,MOORHEAD,MN,48882,ASSISTANCE
RIO STATE BANK,3/26/1937,384,329,RIO,IL,,FAILURE
HOME FS&LA,12/2/1985,106672,106091,PADUCAH,KY,21238,ASSISTANCE
CITIZENS S&LA,12/4/1985,239709,153498,SALEM,OR,85218,FAILURE
SECURITY STATE BANK,12/5/1985,8040,7550,BROKEN BOW,NE,1646,FAILURE
THE FARMERS AND MERCHANTS NATIONAL BANK OF,12/5/1985,28684,27452,HENNESSY,OK,5501,FAILURE
GUARANTY S&LA,12/6/1985,451432,316527,HARRISON,AR,64079,FAILURE
STATE  FS&LA,12/6/1985,563862,443856,CORVALLIS,OR,249036,FAILURE
"THE FARMERS STATE BANK OF BARRY COUNTY, EX",12/13/1985,4203,4079,EXETER,MO,1236,FAILURE
THE FIRST NATIONAL BANK IN LINCOLN COUNTY,12/13/1985,32024,30697,RUIDOSO,NM,16664,FAILURE
LAKE NATIONAL BANK,12/13/1985,19795,19130,LAKE OZARK,MO,2090,FAILURE
PRINCETON STATE BANK,12/19/1985,18366,16809,PRINCETON,MO,5818,FAILURE
FIRST INTERNATIONAL BANK,4/3/1937,192,139,NOONAN,ND,,FAILURE
FARMERS & MERCHANTS BANK,12/19/1985,3324,3180,COMSTOCK,NE,785,FAILURE
FARMERS STATE BANK,12/19/1985,12474,11321,SARGENT,NE,1573,FAILURE
BANK OF PANAMA,12/19/1985,4376,4281,PANAMA,NE,1416,FAILURE
STATE BANK OF FROST,12/20/1985,7736,6603,FROST,MN,2031,FAILURE
FIRST CITY BANK,12/20/1985,35813,28772,GLENDALE,CA,5899,FAILURE
BROWNFIELD  S&LA,12/20/1985,64709,59940,BROWNFIELD,TX,10973,ASSISTANCE
STATE S&LA OF LUBBOCK,12/20/1985,841612,815045,LUBBOCK,TX,1148063,ASSISTANCE
HOME SAVINGS BANK,12/31/1985,413948,405013,WHITE PLAINS,NY,5723,ASSISTANCE
SUN FS&LA,12/31/1985,367489,341031,TALAHASSEE,FL,12854,ASSISTANCE
FIRST FS&LA,1/2/1986,52751,55689,ASHTABULA,OH,,ASSISTANCE
TEXAS STATE BANK AND TRUST COMPANY,4/8/1937,628,419,CORPUS CHRISTI,TX,,FAILURE
THE FIRST NATIONAL BANK OF WHITE CITY,1/9/1986,9607,9239,WHITE CITY,KS,3408,FAILURE
FIRST STATE BANK,1/9/1986,20725,18897,CACHE,OK,4108,FAILURE
MANHATTAN BEACH S&LA,1/9/1986,51119,49569,MANHATTAN BEACH,CA,23812,FAILURE
BANK OF DIXIE,1/10/1986,41444,36452,LAKE PROVIDENCE,LA,13622,FAILURE
FIRST PROGRESSIVE BANK,1/17/1986,39362,37908,METAIRIE,LA,15563,FAILURE
AMERICAN BANK OF CASPER,1/17/1986,20489,18905,CASPER,WY,7066,FAILURE
UTAH FIRSTBANK,1/24/1986,38492,39601,SALT LAKE CITY,UT,10297,FAILURE
PIONEER STATE BANK,1/24/1986,11698,10893,SALT LAKE CITY,UT,537,FAILURE
BOHEMIAN S&LA,1/30/1986,242394,220643,ST. LOUIS,MO,100781,FAILURE
GREAT WEST S&LA,1/31/1986,52115,52223,LAS VEGAS,NV,3,ASSISTANCE
FIRST STATE BANK,4/12/1937,719,720,ARLINGTON,TX,,FAILURE
