NAME,FAILDATE,QBFASSET,QBFDEP,CITY,PSTALP,COST,RESTYPE
MINGO TRUST & SAVINGS BANK,9/1/1988,12060,11419,MINGO,IA,775,FAILURE
COMMERCIAL STATE BANK,9/1/1988,25607,26129,SAN AUGUSTINE,TX,1741,FAILURE
PISGAH SAVINGS BANK,9/1/1988,9672,9315,PISGAH,IA,2976,FAILURE
LAKELAND STATE BANK,9/1/1988,9264,9199,CAMDEN COUNTY,MO,546,FAILURE
AMERICAN BANK OF MUSKOGEE,9/1/1988,28571,29844,MUSKOGEE,OK,10822,FAILURE
FIRST NATIONAL BANK OF ATASCOCITA,9/1/1988,9362,10771,HARRIS COUNTY,TX,2835,FAILURE
PIONEER NATIONAL BANK,9/1/1988,20289,22550,ARLINGTON,TX,6209,FAILURE
BANK OF STRAFFORD,2/10/1938,136,122,STRAFFORD,MO,,FAILURE
ARSENAL SA,9/1/1988,158346,178689,INDIANAPOLIS,IN,44834,ASSISTANCE
FIDELITY FS&LA,9/1/1988,37141,39463,BERWYN,IL,3722,ASSISTANCE
FRANKTON FS&LA,9/1/1988,30550,33065,FRANKTON,IN,2997,ASSISTANCE
CITIZENS FS&LA,9/1/1988,57944,64557,JACKSONVILLE,FL,125,ASSISTANCE
UNITED SA OF CENTRAL INDIANA,9/1/1988,57345,65067,TIPTON,IN,6896,ASSISTANCE
COOSA FS&LA,9/6/1988,72057,76164,GADSDEN,AL,13121,ASSISTANCE
AMERICAN S&LA,9/7/1988,30162228,15411331,STOCKTON,CA,5369617,ASSISTANCE
FIRST FEDERAL SB,9/7/1988,122899,135472,ROGERS,AR,21750,ASSISTANCE
THE SYLVIA STATE BANK,9/8/1988,5894,5334,SYLVIA,KS,1481,FAILURE
BAY CITY FS&LA,9/9/1988,157930,163007,BAY CITY,TX,255814,ASSISTANCE
PEOPLES BANK & TRUST COMPANY,2/10/1938,,123,SPARTA,TN,,FAILURE
GULF COAST SAVINGS ASSOCIATION,9/9/1988,59914,72296,RICHMOND,TX,86621,ASSISTANCE
TOWN & COUNTRY BANK,9/15/1988,30846,38385,BIXBY,OK,19343,FAILURE
CITIZENS BANK OF LITTLETON,9/15/1988,6365,6259,LITTLETON,CO,1860,FAILURE
TRINITY NATIONAL BANK,9/15/1988,33137,33753,SAN ANTONIO,TX,10667,FAILURE
CAPITAL NATIONAL BANK,9/15/1988,24363,25701,FORT WORTH,TX,7165,FAILURE
RIVER CITY BANK,9/15/1988,15070,17721,CASTLE HILLS,TX,7379,FAILURE
GUARANTY NATIONAL BANK,9/16/1988,21063,22633,AUSTIN,TX,4185,ASSISTANCE
ULTIMATE SAVINGS BANK,9/16/1988,206490,194303,RICHMOND,VA,34874,FAILURE
MOUNTAINWEST S&LA,9/21/1988,284465,262256,OGDEN,UT,,FAILURE
LOVES PARK FSB,9/21/1988,40841,44986,LOVES PARK,IL,5024,ASSISTANCE
THE BRIGGSDALE STATE BANK,2/10/1938,14,8,BRIGGSDALE,CO,,FAILURE
THE FIRST STATE BANK IN TALIHINA,9/22/1988,15813,14744,TALIHINA,OK,2801,FAILURE
THE SECURITY STATE BANK,9/22/1988,9045,8862,COMANCHE,OK,1641,FAILURE
COMMUNITY BANK & TRUST,9/22/1988,14945,14338,ROCKDALE,TX,3687,FAILURE
PEOPLES STATE BANK OF MEEKER,9/23/1988,3894,3765,MEEKER,CO,807,FAILURE
CHAMPION SAVINGS ASSOCIATION,9/23/1988,656720,804134,HOUSTON,TX,427581,ASSISTANCE
PEOPLES S&LA,9/23/1988,22515,19750,LA GRANDE,OR,19257,FAILURE
CONTINENTAL S&LA,9/26/1988,363720,585384,BELLAIRE,TX,,FAILURE
FIRST STATE BANK,9/29/1988,12224,11253,SEMINOLE,OK,1618,FAILURE
WATSON STATE BANK,9/30/1988,13731,12865,WATSON,MN,5104,FAILURE
FIRST FS&LA,9/30/1988,1013313,904454,AUSTIN,TX,480053,ASSISTANCE
THE FIRST NATIONAL BANK OF PURDON,2/12/1938,63,36,PURDON,TX,,FAILURE
CITIZENS FS&LA OF NEW CASTLE,9/30/1988,51855,56976,NEW CASTLE,IN,5281,ASSISTANCE
GREAT WEST SAVINGS BANK,9/30/1988,179890,182323,AUSTIN,TX,190599,ASSISTANCE
DELTA SAVINGS ASSOCIATION OF TEXAS,9/30/1988,202597,313331,ALVIN,TX,258282,ASSISTANCE
CREDITBANC SAVINGS ASSOCIATION,9/30/1988,593147,718584,AUSTIN,TX,732124,ASSISTANCE
FRANKLIN SAVINGS ASSOCIATION,9/30/1988,410855,615638,AUSTIN,TX,680973,ASSISTANCE
ADOBE SAVINGS BANK,9/30/1988,48124,43437,CONCORD,CA,3758,ASSISTANCE
GUARANTY FS&LA,9/30/1988,1960018,2268079,DALLAS,TX,2124303,ASSISTANCE
LIBERTY BANK & TRUST COMPANY,10/3/1988,48687,45800,WARSAW,IN,7771,FAILURE
FIDELITY NATIONAL BANK OF FORT WORTH,10/6/1988,33844,32509,FORT WORTH,TX,10570,FAILURE
FINANCIAL SECURITY S&LA,10/6/1988,150140,166306,DELRAY BEACH,FL,,FAILURE
FARMERS BANK OF BLACKBURN,2/17/1938,79,51,BLACKBURN,MO,,FAILURE
LIBERTY FSB,10/7/1988,130432,137813,RATON,NM,104609,FAILURE
FIRST FS&LA OF MAYFIELD,10/12/1988,51455,72754,MAYFIELD,KY,22101,ASSISTANCE
FIRST FSB OF INDIANA,10/12/1988,271525,287031,MERRILLVILLE,IN,22472,ASSISTANCE
CAPITAL FS&LA,10/12/1988,51414,55716,GARY,IN,6531,ASSISTANCE
OLNEY SAVINGS ASSOCIATION,10/14/1988,1342144,880869,OLNEY,TX,727106,ASSISTANCE
SECURITY FS&LA,10/14/1988,396016,289942,PAMPA,TX,141632,ASSISTANCE
FIRST FS&LA,10/14/1988,214118,203756,AMARILLO,TX,157714,ASSISTANCE
SAN ANGELO SAVINGS ASSOCIATION,10/14/1988,124534,162840,SAN ANGELO,TX,177991,ASSISTANCE
ODESSA SAVINGS ASSOCIATION,10/14/1988,132133,156610,ODESSA,TX,90886,ASSISTANCE
SOUTHWEST S&LA,10/14/1988,154345,328807,ABILENE,TX,415692,ASSISTANCE
STATE BANK OF SURPRISE,2/28/1938,65,56,SURPRISE,NE,,FAILURE
BANC HOME SAVINGS ASSOCIATION,10/14/1988,603367,680882,MIDLAND,TX,44168,ASSISTANCE
SOUTHERN S&LA,10/14/1988,154850,160257,BROWNWOOD,TX,109608,ASSISTANCE
HEART O TEXAS SAVINGS ASSOCIATION,10/14/1988,269532,201699,MIDLAND,TX,97431,ASSISTANCE
SHAMROCK FEDERAL SAVINGS BANK,10/14/1988,102296,103952,SHAMROCK,TX,81878,ASSISTANCE
PETROPLEX SAVINGS ASSOCIATION,10/14/1988,113922,178122,MIDLAND,TX,156507,ASSISTANCE
COMMERCIAL BANK & TRUST COMPANY,10/20/1988,58768,56391,METAIRIE,LA,13216,FAILURE
SECURITY BANK,10/20/1988,21789,20851,DALLAS,TX,6596,FAILURE
PEOPLES FSB,10/25/1988,341126,347272,WOOSTER,OH,33413,ASSISTANCE
MEDICAL CENTER STATE BANK,10/27/1988,8655,8562,OKLAHOMA CITY,OK,2078,FAILURE
FRONTIER NATIONAL BANK,10/27/1988,39529,39271,ROUND ROCK,TX,11517,FAILURE
CITIZENS STATE BANK,3/2/1938,118,94,HARTFORD,AR,,FAILURE
ROUND ROCK NATIONAL BANK,10/27/1988,37001,37104,ROUND ROCK,TX,19961,FAILURE
LINCOLN FS&LA,11/1/1988,1253024,964594,WESTFIELD,NJ,210257,ASSISTANCE
SOUTHSIDE S&L,11/1/1988,54128,54705,LIMA,OH,12120,ASSISTANCE
RELIANCE FS&LA,11/2/1988,64346,82502,RAHWAY,NJ,11398,ASSISTANCE
SOUTHWEST NATIONAL BANK,11/3/1988,14015,16150,HOUSTON,TX,4120,FAILURE
MT. ZION STATE BANK,11/4/1988,26444,25661,MOUNT ZION,IL,0,FAILURE
THE FIRST NATIONAL BANK OF GRACEMONT,11/10/1988,6571,6841,GRACEMONT,OK,1042,FAILURE
AVOYELLES TRUST & SAVINGS BANK,11/10/1988,27150,30223,BUNKIE,LA,8784,FAILURE
MIAMI NATIONAL BANK,11/10/1988,9249,9584,MIAMI,OK,2420,FAILURE
BANK OF THE NORTHWEST,11/10/1988,19537,18010,WOODWARD,OK,4555,FAILURE
"BANK OF NORTHAMPTON, INCORPORATED",3/3/1938,,300,NASSAWADOX,VA,,FAILURE
AMERICAN NATIONAL BANK,11/10/1988,22369,22850,TYLER,TX,5324,FAILURE
CYPRUS SA,11/10/1988,172828,203688,PLANTATION,FL,98869,FAILURE
"ALLIANCE BANK, N.A.",11/16/1988,8898,11860,OKLAHOMA CITY,OK,4145,ASSISTANCE
EAST TEXAS STATE BANK,11/17/1988,21278,20632,BUNA,TX,4671,FAILURE
THE BANK OF KERRVILLE,11/17/1988,39821,34839,KERRVILLE,TX,11240,FAILURE
FIRST NATIONAL BANK,11/18/1988,262163,297944,COVINGTON,LA,124318,FAILURE
TESORO S&LA,11/18/1988,248056,334675,LAREDO,TX,230435,ASSISTANCE
UNION BANK OF HOUSTON,12/1/1988,55448,49067,HOUSTON,TX,12614,FAILURE
"OAK LAWN BANK, N.A.",12/1/1988,10283,10674,DALLAS,TX,2788,FAILURE
ENTERPRISE NATIONAL BANK,12/1/1988,5278,5066,ENGLEWOOD,CO,1596,FAILURE
HOME SAVINGS BANK,3/5/1938,,1246,DES MOINES,IA,,FAILURE
TEXANA NATIONAL BANK OF BELTON,12/1/1988,19482,19144,BELTON,TX,6098,FAILURE
CARDINAL FSB,12/1/1988,1471492,1458128,CLEVELAND,OH,452662,ASSISTANCE
UNITED FS&LA,12/1/1988,92527,91975,ABERDEEN,SD,8015,ASSISTANCE
FIRST FS&LA,12/1/1988,265719,241623,COLUMBUS,GA,817,ASSISTANCE
NORTHPARK SAVINGS ASSOCIATION,12/1/1988,126611,163830,RICHARDSON,TX,163174,ASSISTANCE
WAUKOMIS STATE BANK,12/8/1988,12047,11852,WAUKOMIS,OK,1565,FAILURE
FIRST BANK & TRUST CO.,12/8/1988,42025,45179,DUNCAN,OK,9603,FAILURE
"RESOURCE BANK, N.A.",12/8/1988,34725,37292,HOUSTON,TX,12388,FAILURE
CARIBANK,12/9/1988,525792,522990,DANIA,FL,39026,FAILURE
SILVERADO S&LA,12/9/1988,2315295,1767010,DENVER,CO,1299606,FAILURE
BANK OF AMERICA TRUST CO.,4/19/1934,1435,1064,PITTSBURGH,PA,,FAILURE
STATE BANK OF SUAMICO,6/24/1935,161,128,SUAMICO,WI,,FAILURE
FIRST STATE BANK,3/14/1938,212,142,KULM,ND,,FAILURE
CENTRAL ARKANSAS S&LA,12/9/1988,10129,12470,CONWAY,AR,2163,FAILURE
MIDAMERICA SB,12/12/1988,244346,232325,WATERLOO,IA,14000,ASSISTANCE
EASTERN WASHINGTON S&LA,12/14/1988,51490,32340,WENATCHEE,WA,1102,ASSISTANCE
FIRST NATIONAL BANK IN BOGATA,12/15/1988,13244,13294,BOGATA,TX,1239,FAILURE
FIRST NATIONAL BANK IN CENTER,12/15/1988,26056,26150,CENTER,TX,5547,FAILURE
TEXAS NATIONAL BANK,12/15/1988,37661,47122,DALLAS,TX,17580,FAILURE
TEXAS BANK OF PLANO,12/15/1988,15055,15329,PLANO,TX,5303,FAILURE
CRESCENT CITY BANK & TRUST COMPANY,12/15/1988,23990,23137,NEW ORLEANS,LA,6394,FAILURE
AMERICAN HOME SAVINGS,12/15/1988,403016,382743,SALEM,OR,145343,ASSISTANCE
COMMUNITY FIRST FED SAVINGS,12/15/1988,386016,308114,VANCOUVER,WA,73319,ASSISTANCE
THE BORDEN STATE BANK,3/18/1938,165,135,BORDEN,IN,,FAILURE
ROOKS COUNTY FSA,12/15/1988,32001,35172,PLAINVILLE,KS,19292,ASSISTANCE
FIRST SOUTHWEST BANK,12/16/1988,9826,9710,ELDORADO,OK,2387,FAILURE
ROCKY MOUNTAIN FS&LA,12/16/1988,307198,268112,CHEYNNE,WY,102648,ASSISTANCE
FIRST DEARBORN,12/16/1988,167332,230493,DEARBORN,MI,78745,ASSISTANCE
UNITED SB OF WYOMING,12/16/1988,220486,275462,CHEYNNE,WY,120580,ASSISTANCE
BLOOMFIELD S&LA,12/16/1988,688676,607435,BIRMINGHAM,MI,119568,ASSISTANCE
FIRST INDUSTRIAL BANK OF ROCKY FORD,12/16/1988,12489,11414,ROCKY FORD,CO,6696,FAILURE
OHIO VALLEY,12/17/1988,203929,238040,STEUBENVILLE,OH,63182,ASSISTANCE
FIRST BORDER SB,12/17/1988,111026,107187,PIQUA,OH,19569,ASSISTANCE
BATON ROUGE BANK & TRUST COMPANY,12/21/1988,111498,112697,BATON ROUGE,LA,18002,ASSISTANCE
MERCHANTS' AND MECHANICS' SAVINGS BANK OF NORFOLK,3/26/1938,,2941,NORFOLK,VA,,FAILURE
MINERAL WELLS S&LA,12/22/1988,31482,34801,MINERAL WELLS,TX,11114,ASSISTANCE
HOME S&LA,12/22/1988,278460,394667,LUFKIN,TX,356328,ASSISTANCE
MESQUITE S&LA,12/22/1988,47028,46438,MESQUITE,TX,18765,ASSISTANCE
FIRST WESTERN S&LA,12/22/1988,83368,111295,COLORADO CITY,TX,72076,ASSISTANCE
COMMODORE SAVINGS ASSOCIATION,12/22/1988,499435,1139370,DALLAS,TX,1345027,ASSISTANCE
LAMESA FS&LA,12/22/1988,89329,80659,LAMESA,TX,20659,ASSISTANCE
FIRST FS&LA,12/22/1988,129260,113233,BIG SPRING,TX,73814,ASSISTANCE
HOME SA,12/22/1988,495499,543605,HOUSTON,TX,309710,ASSISTANCE
SENTRY SAVINGS ASSOCIATION,12/22/1988,87039,151451,SLATON,TX,155964,ASSISTANCE
VISTA SAVINGS ASSOCIATION,12/22/1988,133101,148549,ODESSA,TX,121993,ASSISTANCE
MARGATE TRUST COMPANY,4/2/1938,702,367,MARGATE CITY,NJ,,FAILURE
INTERWEST SAVINGS ASSOCIATION,12/22/1988,109397,176395,FORT WORTH,TX,168427,ASSISTANCE
SOUTHERN FEDERAL BANC S&LA,12/22/1988,91347,166081,LANCASTER,TX,171862,ASSISTANCE
RELIANCE SAVINGS ASSOCIATION,12/22/1988,41507,55756,HOUSTON,TX,59854,ASSISTANCE
METROPLEX FEDERAL SAVINGS ASSOCIATION,12/22/1988,64809,66900,HURST,TX,43503,ASSISTANCE
VIRGINIA FS&LA,12/23/1988,678944,517043,RICHMOND,VA,13500,ASSISTANCE
GIBRALTAR SA,12/27/1988,6459408,4592498,HOUSTON,TX,2853843,ASSISTANCE
FIRST TEXAS SAVINGS ASSOCIATION,12/27/1988,3127779,2695907,DALLAS,TX,2526719,ASSISTANCE
KILLEEN S&LA,12/27/1988,163402,267027,KILLEEN,TX,195099,ASSISTANCE
MONTFORT SAVINGS ASSOCIATION,12/27/1988,1815791,671321,DALLAS,TX,657668,ASSISTANCE
FIRST FINANCIAL SB,12/28/1988,262690,211449,DES MOINES,IA,85658,ASSISTANCE
THE FIRST STATE BANK,4/9/1938,117,83,COLFAX,ND,,FAILURE
FIRST FS&LA,12/29/1988,30584,47699,LULING,TX,47651,ASSISTANCE
YOAKUM FS&LA,12/29/1988,43628,43572,YOAKUM,TX,27099,ASSISTANCE
SEGUIN SAVINGS ASSOCIATION,12/29/1988,140515,169424,SEGUIN,TX,159143,ASSISTANCE
AMERICAN SB,12/29/1988,886999,845553,SPRINGFIELD,IL,176089,ASSISTANCE
CHARTER SAVINGS S&LA,12/29/1988,396828,551930,CORPUS CHRISTI,TX,614825,ASSISTANCE
PEOPLES S&LA,12/29/1988,171117,382844,LLANO,TX,380914,ASSISTANCE
BURNET S&LA,12/29/1988,28097,27399,BURNET,TX,11511,ASSISTANCE
UNION SA,12/29/1988,72106,73823,SAN ANTONIO,TX,42689,ASSISTANCE
LEE SAVINGS ASSOCIATION,12/29/1988,73911,87541,GIDDINGS,TX,62677,ASSISTANCE
INDEPENDENCE S&LA,12/29/1988,59110,60626,GONZALES,TX,53214,ASSISTANCE
THE CITY NATIONAL BANK OF HARRISBURG,4/9/1938,,2795,HARRISBURG,IL,,FAILURE
RANCHERS SAVINGS ASSOCIATION,12/29/1988,56154,93256,JOHNSON CITY,TX,112395,ASSISTANCE
KEYSTONE S&LA,12/29/1988,30712,35063,LAMPASAS,TX,23826,ASSISTANCE
BAYVIEW FSA,12/29/1988,64613,70389,CORPUS CHRISTI,TX,48169,ASSISTANCE
TRACY-COLLINS BANK & TRUST COMPANY,12/30/1988,213259,196005,SALT LAKE CITY,UT,88,ASSISTANCE
GREAT FALLS FS&LA,12/30/1988,127952,72662,GREAT FALLS,MT,10682,ASSISTANCE
JACKSON COUNTY FSA,12/30/1988,266123,274978,MEDFORD,OR,72446,ASSISTANCE
FIRST FS&LA OF JACKSONVILLE,12/30/1988,1243932,1013543,JACKSONVILLE,FL,25725,ASSISTANCE
NORTHWEST FS&LA,12/30/1988,129073,144646,SPENCER,IA,66541,ASSISTANCE
UNITED SAVINGS ASSOCIATION OF TEXAS,12/30/1988,4644939,3496819,HOUSTON,TX,1520256,ASSISTANCE
COLUMBIA FS&LA,12/30/1988,3125050,1813720,ENGLEWOOD,CO,747209,ASSISTANCE
BANK OF ELLENBORO,4/9/1938,,54,ELLENBORO,NC,,FAILURE
PATHWAY FINANCIAL,12/30/1988,1222965,938160,CHICAGO,IL,498015,ASSISTANCE
HOME FS&LA,12/30/1988,46496,51570,SPENCER,IA,9031,ASSISTANCE
BEACH FS&LA,12/30/1988,1141671,1190559,BOYNTON BEACH,FL,1291299,ASSISTANCE
PEORIA S&LA,12/31/1988,171600,148055,PEORIA,IL,19528,ASSISTANCE
BROWARD FS&LA,12/31/1988,535666,494346,SUNRISE,FL,221291,ASSISTANCE
BANK OF BENTON,1/5/1989,12202,12132,BENTON,LA,3365,FAILURE
FIRST STATE BANK,1/12/1989,10466,10594,HARPER,TX,2687,FAILURE
COMMERCIAL STATE BANK,1/12/1989,49186,48602,HOUSTON,TX,4837,FAILURE
THE NATIONAL BANK OF BOSSIER CITY,1/12/1989,73322,76353,BOSSIER CITY,LA,31262,FAILURE
ROLLING HILLS STATE BANK,1/12/1989,13212,13099,PIEDMONT,OK,1766,FAILURE
CAMDEN SAFE DEPOSIT & TRUST COMPANY,4/11/1938,,22564,CAMDEN,NJ,,FAILURE
WEST BELT NATIONAL BANK,1/12/1989,26121,30236,HOUSTON,TX,10815,FAILURE
ORLEANS BANK AND TRUST COMPANY,1/12/1989,24862,24478,NEW ORLEANS,LA,6540,FAILURE
OAK HILL NATIONAL BANK,1/12/1989,18195,18166,TRAVIS COUNTY,TX,5522,FAILURE
THE PLANTERS BANK & TRUST COMPANY,1/19/1989,57312,57894,HAYNESVILLE,LA,10167,FAILURE
MERCHANTS STATE BANK,1/19/1989,121963,124594,DALLAS,TX,20984,FAILURE
FIRST NATIONAL BANK OF CEDAR PARK,1/19/1989,18609,18912,CEDAR PARK,TX,6929,FAILURE
SOUTHERN FEDERAL SB,1/19/1989,76623,68505,THOMASVILLE,GA,16715,FAILURE
CITIZENS STATE BANK,1/26/1989,15630,14900,EARTH,TX,4304,FAILURE
"COMMUNITY BANK, NATIONAL ASSOCIATION",1/26/1989,8556,9446,DECKER PRAIRIE,TX,5127,FAILURE
FIRST STATE BANK OF TEXAS,1/26/1989,16339,18370,DUNCANVILLE,TX,5351,FAILURE
WEST JERSEY TRUST COMPANY,4/11/1938,,8985,CAMDEN,NJ,,FAILURE
OAKWOOD NATIONAL BANK,1/27/1989,23011,26831,ENID,OK,7394,FAILURE
FIRST FS&LA IN NEW ALBANY,1/27/1989,20761,17480,NEW ALBANY,MS,4890,FAILURE
CARVER S&LA,1/27/1989,265763,285969,ESCONDIDO,CA,35888,FAILURE
METROPOLITAN NATIONAL BANK,1/31/1989,4438,6396,SAN ANTONIO,TX,2296,ASSISTANCE
ALASKA STATEBANK,2/3/1989,90791,96858,ANCHORAGE,AK,17317,FAILURE
COOK COUNTY FS&LA,2/3/1989,164016,170962,CHICAGO,IL,55136,ASSISTANCE
BALTIMORE FEDERAL FINANCIAL,2/7/1989,1566752,1252969,BALTIMORE,MD,357885,FAILURE
PACIFIC SAVINGS BANK,2/7/1989,1117704,1019051,COSTA MESA,CA,188260,FAILURE
GILL SA,2/7/1989,1207294,1448432,SAN ANTONIO,TX,1659803,FAILURE
FREEDOM S & LA,2/7/1989,1402115,1132175,TAMPA,FL,329653,FAILURE
FIRST STATE BANK OF IPSWICH,4/12/1938,210,184,IPSWICH,SD,,FAILURE
FIRST BANK & TRUST,2/9/1989,148098,144662,BRYAN,TX,30009,FAILURE
CITIZENS BANK,2/9/1989,100126,102130,HOUSTON,TX,28589,FAILURE
CITIZENS BANK HOUSTON,2/9/1989,40169,37102,HOUSTON,TX,17042,FAILURE
DESERET S & L ASSOC.,2/10/1989,159337,177688,SALT LAKE CITY,UT,88043,FAILURE
FIRST FEDERAL OF ARKANSAS,2/10/1989,1583318,1201845,LITTLE ROCK,AR,792616,FAILURE
SAVERS FS & LA,2/10/1989,806012,788880,LITTLE ROCK,AR,618396,FAILURE
BRIGHT BANC,2/10/1989,4388466,3004443,DALLAS,TX,1307798,FAILURE
SANDIA FS & LA,2/10/1989,747076,1075651,ALBUQUERQUE,NM,1050422,FAILURE
SIGNAL S&LA,2/10/1989,46132,52873,SIGNAL HILL,CA,2877,FAILURE
MIDWEST FEDERAL SAVINGS,2/13/1989,3255576,2238263,MINNEAPOLIS,MN,754794,FAILURE
THE FIRST NATIONAL BANK OF PENDER,6/29/1935,301,195,PENDER,NE,,FAILURE
BANK OF HUMBOLDT,4/19/1938,194,131,HUMBOLDT,SD,,FAILURE
UNIVERSITY FEDERAL SAVINGS,2/14/1989,4480389,3776427,HOUSTON,TX,2177985,FAILURE
FIRST CONTINENTAL NATIONAL BANK,2/15/1989,9035,8541,HOUSTON,TX,2093,FAILURE
THE HOME STATE BANK,2/16/1989,1731,1706,ARCADIA,KS,263,FAILURE
LOUISIANA BANK & TRUST COMPANY,2/16/1989,270401,276308,SHREVEPORT,LA,70473,FAILURE
SECURITY BANK,2/16/1989,19334,19194,HOUSTON,TX,5067,FAILURE
TEXAS NATIONAL BANK,2/16/1989,39677,57767,HOUSTON,TX,24824,FAILURE
WESTPOINT NATIONAL BANK,2/16/1989,8252,11047,SAN ANTONIO,TX,5821,FAILURE
THE FIRST STATE BANK,2/17/1989,272709,206634,ABILENE,TX,85736,FAILURE
ANCHOR SA,2/17/1989,834034,596548,KANSAS CITY,KS,133114,FAILURE
BLUE VALLEY FS & LA,2/17/1989,839230,820206,KANSAS CITY,MO,233113,FAILURE
FIRST STATE BANK,4/19/1938,186,144,TURTLE LAKE,ND,,FAILURE
AMERICAN S & LA,2/17/1989,2180662,1390076,SALT LAKE CITY,UT,152495,FAILURE
"SUN SAVINGS ASSOCIATION, FA",2/17/1989,188821,186032,KANSAS CITY,KS,66541,FAILURE
COMMUNITY SAVING & LOAN,2/17/1989,185407,161093,FOND DU LAC,WI,27155,FAILURE
MIDWEST FED. S & L ASSOC.,2/17/1989,139096,119723,NEBRASKA CITY,NE,32005,FAILURE
CONCORDIA FEDERAL BANK FOR SAVINGS,2/17/1989,468800,423864,LANSING,IL,63182,FAILURE
PLATTE VALLEY FS & LA,2/17/1989,316765,320752,GERING,NE,181099,FAILURE
EQUITABLE FEDERAL SAVINGS BANK,2/17/1989,225241,205386,FREMONT,NE,28607,FAILURE
GUARANTY FED. S & L ASSOC.,2/17/1989,381335,398552,BIRMINGHAM,AL,55864,FAILURE
NORTH JERSEY FEDERAL SAV. ASSOC.,2/17/1989,278145,304265,PASSAIC,NJ,131532,FAILURE
OCCIDENTAL/NEBRASKA FSB,2/17/1989,677311,529857,OMAHA,NE,155679,FAILURE
CAROLINE STATE BANK,4/20/1938,168,134,CAROLINE,WI,,FAILURE
NILE VALLEY FEDERAL S & L ASSOC.,2/17/1989,56264,64068,SCOTTSBLUFF,NE,38924,FAILURE
SOUTHWEST S & LA,2/17/1989,2265334,1755845,PHOENIX,AZ,723170,FAILURE
FIRST FS & LA,2/17/1989,334418,391792,LARGO,FL,99288,FAILURE
SECURITY S & LA,2/17/1989,626922,1052619,SCOTTSDALE,AZ,788548,FAILURE
COLUMBIA FED. SAVINGS BANK,2/17/1989,145634,143925,WESTPORT,CT,19019,FAILURE
ELYSIAN FEDERAL SAVINGS BANK,2/17/1989,198693,200589,HOBOKEN,NJ,30897,FAILURE
INDEPENDENCE FS & LA,2/17/1989,207028,346408,BATESVILLE,AR,303459,FAILURE
WESTWOOD S & L ASSOC.,2/17/1989,328396,397326,LOS ANGELES,CA,236661,FAILURE
HORIZON FED. S & L ASSOC.,2/17/1989,380658,395977,METAIRIE,LA,250165,FAILURE
SOUTHERN FLORIDABANC FEDERAL,2/17/1989,143273,256172,BOCA RATON,FL,161958,FAILURE
STATE BANK OF IRENE,4/25/1938,176,142,IRENE,SD,,FAILURE
"FRENCH MARKET HOMESTEAD, FSA",2/17/1989,250776,237884,METAIRIE,LA,81252,FAILURE
UNIVERSAL SAVINGS & LOAN,2/17/1989,92684,103075,SCOTTSDALE,AZ,22493,FAILURE
MOUNTAINWEST S & L ASSOC.,2/17/1989,241532,227455,OGDEN,UT,71419,FAILURE
MID-STATE S&LA,2/24/1989,28388,29833,CHAMPAIGN,IL,8009,FAILURE
FIRST VALLEY S&LA,2/24/1989,11947,12870,PIKEVILLE,TN,5093,FAILURE
COMMERCE SA,2/28/1989,807256,801342,SAN ANTONIO,TX,595212,FAILURE
THE BARBER COUNTY S & L ASSOC.,3/2/1989,47511,41714,MEDICINE LODGE,KS,15351,FAILURE
PEOPLES S & L ASSOC.,3/2/1989,84337,71078,PARSONS,KS,13814,FAILURE
MID AMERICA FED. S & L ASSOC.,3/2/1989,83343,87854,PARSONS,KS,6226,FAILURE
VALLEY FS & LA OF HUTCHINSON,3/2/1989,222449,199062,HUTCHINSON,KS,103273,FAILURE
SUSSEX STATE BANK,5/14/1938,,290,SUSSEX,WI,,FAILURE
SAN ANTONIO SAVINGS,3/2/1989,2637921,1946200,SAN ANTONIO,TX,821419,FAILURE
SHAWNEE FED. S & L ASSOC.,3/2/1989,221120,196614,TOPEKA,KS,6,FAILURE
LANDMARK SAVINGS BANK FSB,3/2/1989,132289,153945,HOT SPRINGS,AR,87653,FAILURE
FIRST FSB OF KANSAS,3/2/1989,155938,168278,WELLINGTON,KS,59911,FAILURE
FIRST FEDERAL SAVINGS/HUTCHINSON,3/2/1989,183526,171906,HUTCHINSON,KS,75118,FAILURE
FIRST FS & LA OF COFFEYVILLE,3/2/1989,90553,95592,COFFEYVILLE,KS,45737,FAILURE
FIRST FED. S & L ASSOC.,3/2/1989,125628,112268,FAYETTEVILLE,AR,29055,FAILURE
FIRST FED. S & L ASSOC.,3/2/1989,51090,54028,MALVERN,AR,19495,FAILURE
FIRST FEDERAL BANK OF ALASKA,3/2/1989,137633,192285,ANCHORAGE,AK,133969,FAILURE
ALAMO SA OF TEXAS,3/2/1989,569948,627644,SAN ANTONIO,TX,703278,FAILURE
CITIZENS STATE BANK OF ANDOVER,5/17/1938,78,48,ANDOVER,SD,,FAILURE
FIRST STATE SAVINGS BANK,3/2/1989,107606,128466,MOUNTAIN HOME,AR,52219,FAILURE
PERMIAN S & L ASSOC.,3/2/1989,10849,12050,KERMIT,TX,2471,FAILURE
COLONIAL SAVINGS ASSOCIATION,3/2/1989,70304,64220,LIBERAL,KS,45740,FAILURE
SOUTHMOST S & L,3/2/1989,95761,113005,BROWNSVILLE,TX,59276,FAILURE
PADRE FEDERAL S & L,3/2/1989,18422,31880,CORPUS CHRISTI,TX,24265,FAILURE
